Song Title;Artist;Lyrics;bpm
Girls Just Want to Have Fun; Cyndi Lauper feat. Puffy AmiYumi;"I come home, in the morning light
My mother says ""When you gonna live your life right?""
Oh momma dear, we?re not the fortunate ones
And girls, they wanna have fun
Oh girls just wanna have fun...

The phone rings, in the middle of the night,
My father yells ""What you gonna do with your life?""
Oh daddy dear, you know you're still number one,
But girls they wanna have fun,
Oh girls just wanna have

That?s all they really want...
Some fun...
When the working day is done
Oh girls, they wanna have fun
Oh girls just wanna (girls) have fun (they want)
(Wanna have fun)
(Girls)
(Wanna have)


Some boys take a beautiful girl
And hide her away from the rest of the world
I wanna be the one to walk in the sun
Oh girls, they wanna have fun
Oh girls just wanna have

That's all they really want...
Is some fun...
When the working day is done
Oh girls, they wanna have fun
Oh girls just wanna have (girls) fun (they want)
(Wanna have fun)
(Girls)
(Wanna have)

They just wanna, they just wanna (girls)
They just wanna, they just wanna (Girls just wanna have fun)
Oh girls

Girls just wanna have fun
They just wanna, they just wanna,
They just wanna, they just wanna (Girls)
They just wanna, they just wanna (Girls just wanna have fun)
Girls, girls just wanna have fun


When the workin'
When the working day is done
Oh, when the working day is done
Oh, girls
Girls just wanna have fun

They just wanna, they just wanna (girls)
They just wanna, they just wanna (Girls just wanna have fun)
Oh, girls

Girls just wanna have fu-un
(They just wanna, they just wanna)
When the workin?,
When the working day is done, (They just wanna, they just wanna)
Oh, when the working day is done (Oh, girls)
(Girls just wanna have fun)
Oh, girls
Girls just wanna have fun
(They just wanna, they just wanna)...";120
I Got You (I Feel Good);James Brown;"Wow, I feel good
I knew that I would now
I feel good
I knew that I would now
So good, so good, I got you

Wow, I feel nice
Like sugar and spice
I feel nice
Like sugar and spice
So nice, so nice, I got you

When I hold you in my arms
I know that I can do no wrong
And when I hold you in my arms
My love won?t do you no harm


And I feel nice
Like sugar and spice
I feel nice
Like sugar and spice
So nice, so nice, I got you

When I hold you in my arms
I know that I can't do no wrong
And when I hold you in my arms
My love can?t do me no harm

And I feel nice
Like sugar and spice
I feel nice
Like sugar and spice
So nice, so nice, well I got you

Wow, I feel good
I knew that I would now
I feel good
I knew that I would
So good, so good, 'cause I got you

So good, so good, 'cause I got you
So good, so good, ?cause I got you
Hey";143
Don't Stop Me Now;Queen;"Tonight I?m gonna have myself a real good time
I feel alive
And the world I'll turn it inside out, yeah
I?m floating around in ecstasy
So, (don't stop me now)
(Don't stop me)
?Cause I?m having a good time, having a good time

I'm a shooting star leaping through the sky like a tiger
Defying the laws of gravity
I?m a racing car passing by like Lady Godiva
I'm gonna go, go, go, there?s no stopping me

I'm burnin? through the sky, yeah
200 degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man out of you


(Don?t stop me now)
I?m having such a good time
I'm having a ball
(Don?t stop me now)
If you wanna have a good time
Just give me a call
(Don't stop me now)
?Cause I'm having a good time
(Don?t stop me now)
Yes, I'm havin' a good time
I don?t want to stop at all, yeah

I?m a rocket ship on my way to Mars on a collision course
I am a satellite I'm out of control
I am a sex machine ready to reload like an atom bomb
About to oh, oh, oh, oh, oh, explode

I?m burnin' through the sky, yeah
200 degrees, that?s why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic woman of you

(Don?t stop me, don't stop me, don't stop me) Hey, hey, hey
(Don?t stop me, don?t stop me, ooh, ooh, ooh) I like it
(Don't stop me, don?t stop me) Have a good time, good time
(Don't stop me, don?t stop me) Woah
Let loose, honey, all right

Oh, I'm burnin? through the sky, yeah
200 degrees, that's why they call me Mister Fahrenheit (hey)
I'm travelling at the speed of light
I wanna make a supersonic man out of you (hey, hey)


(Don?t stop me now)
I?m having such a good time
I'm having a ball
(Don?t stop me now)
If you wanna have a good time (ooh, alright)
Just give me a call
(Don't stop me now)
?Cause I'm having a good time (hey, hey)
(Don?t stop me now)
Yes, I'm havin' a good time
I don?t want to stop at all

Ah, da, da, da, da
Da, da, ah, ah
Ah, da, da, ah, ah, ah
Ah, da, da
Ah, da, da, ah, ah
Ooh, ooh-ooh, ooh-ooh";156
Good as Hell;Lizzo;"I do my hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)

Woo child, tired of the bullshit
Go on dust your shoulders off, keep it moving
Yes, Lord, tryna get some new shit
In there, swimwear, going-to-the-pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it?s hard but you have to try
If you need advice, let me simplify

If he don't love you anymore
Just walk your fine ass out the door

I do my hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Woo girl, need to kick off your shoes


Got to take a deep breath, time to focus on you
All the big fights, long nights that you been through
I got a bottle of tequila I been saving for you
Boss up and change your life
You can have it all, no sacrifice
I know he did you wrong, we can make it right
So go and let it all hang out tonight

?Cause he don't love you anymore
So walk your fine ass out the door

I do my hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)

If he don't love you anymore
Then walk your fine ass out the door

I do my hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
Hair toss, check my nails
Baby how you feeling? (Feeling good as hell)
(Feeling good as hell)
Baby how you feeling? (Feeling good as hell)";96
Walking on Sunshine;Katrina and the Waves;"Ow
Mm, yeah

I used to think maybe you loved me
Now, baby, I?m sure
And I just can't wait till the day
When you knock on my door
Now every time I go for the mailbox
Gotta hold myself down
?Cause I just can't wait
Till you write me you're coming around

Now I?m walking on sunshine, whoa
I?m walking on sunshine, whoa
I'm walking on sunshine, whoa
And don?t it feel good
Hey, all right now
And don't it feel good
Hey, yeah


I used to think maybe you loved me
Now I know that it?s true
And I don't wanna spend my whole life
Just a waiting for you
Now I don?t want you back for the weekend
Not back for a day, no, no, no
I said, baby, I just want you back
And I want you to stay

Oh, yeah, now I'm walking on sunshine, whoa
I'm walking on sunshine, whoa
I?m walking on sunshine, whoa
And don?t it feel good
Hey, all right now
And don't it feel good
Yeah, oh, yeah, now
And don?t it feel good

Walking on sunshine
Walking on sunshine

I feel alive, I feel the love,
I feel the love that's really real
I feel alive, I feel the love,
I feel the love that?s really real
I'm on sunshine, baby, oh
Oh, yeah, I?m on sunshine, baby


Oh, I'm walking on sunshine, whoa
I'm walking on sunshine, whoa
I?m walking on sunshine, whoa
And don?t it feel good
Hey, all right now
And don't it feel good
I?ll say it, I'll say it
I?ll say it again now
And don't it feel good
Hey, yeah now
And don?t it feel good
Now don't it, don't it
Don?t it, don?t it
Don't it, don?t it
And don't it feel good
I?ll say it, I'll say it
I?ll say it again now
And don't it feel good
Now don't it, don?t it
Don?t it, don't it
Don?t it, don't it
And don?t it feel good
Now tell me, tell me
Tell me again now
And don't it feel good
Oh, yeah, now
And don?t it feel good
Oh, don't it feel good
Don't it feel good
Now don?t it feel good
Oh, yeah, oh, yeah, oh, yeah
And don?t it feel good
Oh, yeah, yeah, yeah
Oh, yeah, oh, yeah
And don't it feel good";110
Tubthumping;Chumbawamba;"(We?ll be singing, when we're winning, we?ll be singing)

I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You?re never gonna keep me down
I get knocked, down but I get up again
You?re never gonna keep me down

(Pissing the night away, pissing the night away)
He drinks a Whiskey drink, he drinks a Vodka drink
He drinks a Lager drink, he drinks a Cider drink
He sings the songs that remind him of the good times
He sings the songs that remind him of the best times
(Oh Danny Boy, Danny Boy, Danny Boy)


I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You?re never gonna keep me down
I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You?re never gonna keep me down

(Pissing the night away, pissing the night away)
He drinks a Whiskey drink, he drinks a Vodka drink
He drinks a Lager drink, he drinks a Cider drink
He sings the songs that remind him of the good times
He sings the songs that remind him of the best times
(Don't cry for me, next door neighbour)

I get knocked, down but I get up again
You?re never gonna keep me down
I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You're never gonna keep me down
I get knocked, down but I get up again
You?re never gonna keep me down


I get knocked down, (we?ll be singing) but I get up again
You're never gonna keep me down (when we?re winning)
I get knocked down, (we'll be singing) but I get up again
You?re never gonna keep me down (ooh)
I get knocked down, (we'll be singing) but I get up again
You?re never gonna keep me down (when we're winning)
I get knocked down, (we'll be singing) but I get up again
You?re never gonna keep me down (ooh)
I get knocked down, (we?ll be singing)
But I get up again (pissing the night away)
You're never gonna keep me down (when we?re winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (when we're winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)
I get knocked down, (we?ll be singing)
But I get up again (pissing the night away)
You're never gonna keep me down (when we?re winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (when we're winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)
I get knocked down, (we?ll be singing)
But I get up again (pissing the night away)
You're never gonna keep me down (when we?re winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (when we're winning)
I get knocked down, (we'll be singing)
But I get up again (pissing the night away)
You?re never gonna keep me down (ooh)";207
We Will Rock You;Queen;"Buddy, you?re a boy, make a big noise
Playing in the street, gonna be a big man someday
You got mud on your face, you big disgrace
Kicking your can all over the place, singin'

We will, we will rock you
We will, we will rock you

Buddy, you?re a young man, hard man
Shouting in the street, gonna take on the world someday
You got blood on your face, you big disgrace
Waving your banner all over the place


We will, we will rock you
Sing it out
We will, we will rock you

Buddy, you're an old man, poor man
Pleading with your eyes, gonna make you some peace someday
You got mud on your face, big disgrace
Somebody better put you back into your place

We will, we will rock you
Sing it
We will, we will rock you
Everybody
We will, we will rock you
Hmm
We will, we will rock you
Alright";81
Song 2;Blur;"Wooooo hoooo
Wooooo hoooo
Wooooo hoooo
Wooooo hoooo

I got my head checked
By a jumbo jet
It wasn?t easy
But nothing is
No

Wooooo hooooooo
When I feel heavy metal
Wooooo hooooooo
And I'm pins and I?m needles
Wooooo hooooooo


Well, I lie and I'm easy
All of the time, but I am never sure
Why I need you
Pleased to meet you

I got my head down
When I was young
It's not my problem
It?s not my problem

Wooooo hooooooo
When I feel heavy metal
Wooooo hooooooo
And I?m pins and I'm needles
Wooooo hooooooo

Well, I lie and I?m easy
All of the time but I am never sure
Why I need you
Pleased to meet you

Yeah, yeah
Yeah, yeah
Yeah, yeah
Oh, yeah";130
Remember the Name;Fort Minor;"You ready?

Let?s go!

Yeah!
For those of you that want to know what we're all about
It?s like this y'all, c'mon!

This is ten percent luck, twenty percent skill
Fifteen percent concentrated power of will
Five percent pleasure, fifty percent pain
And a hundred percent reason to remember the name

Mike, he doesn?t need his name up in lights
He just wants to be heard, whether it?s the beat or the mic
He feels so unlike everybody else, alone
In spite of the fact that some people still think that they know him

But fuck 'em, he knows the code
It?s not about the salary, it's all about reality and makin? some noise
Makin' the story, makin? sure his clique stays up
That means when he puts it down Tak's pickin' it up, let?s go


Who the hell is he anyway? He never really talks much
Never concerned with status but still leavin? them starstruck
Humbled through opportunities given despite the fact
That many misjudge him because he makes a livin' from writin? raps

Put it together himself, now the picture connects
Never askin' for someone?s help, but to get some respect
He's only focused on what he wrote, his will is beyond reach
And now it all unfolds, the skill of an artist

This is twenty percent skill, eighty percent beer
Be a hundred percent clear ?cause Ryu is ill
Who would've thought he'd be the one to set the west in flames?
Then I heard him wreck it with The Crystal Method, Name of the Game

Came back dropped Megadef, took ?em to church
I like Bleach, man, Ryu had the stupidest verse
This dude is the truth, now everybody givin? him guest spots
His stock's through the roof I heard he fuckin? with S. Dot

This is ten percent luck, twenty percent skill
Fifteen percent concentrated power of will
Five percent pleasure, fifty percent pain
And a hundred percent reason to remember the name


They call him ""Ryu, The Sick"" and he's spittin? fire with Mike
Got him out the dryer, he's hot, found him in Fort Minor with Tak
What a fuckin? nihilist porcupine, he's a prick, he's a cock
The type women want to be with and rappers hope he gets shot

Eight years in the makin? patiently waitin? to blow
Now the record with Shinoda's takin? over the globe
He's got a partner in crime, his shit is equally dope
You won?t believe the kind of shit that comes out of this kid's throat

Tak, he?s not your everyday on the block
He knows how to work with what he's got, makin' his way to the top
He often gets a comment on his name, people keep asking him
""Was it given at birth or does it stand for an acronym?""

No, he?s livin? proof got him rockin' the booth
He?ll get you buzzin' quicker than a shot of vodka with juice
Him and his crew are known around as one of the best
Dedicated to what they doin? give a hundred percent

Forget Mike, nobody really knows how or why he works so hard
It seems like he's never got time
Because he writes every note and he writes every line
And I?ve seen him at work when that light goes on in his mind

It's like a design is written in his head every time
Before he even touches a key or speaks in a rhyme
And those mother fuckers he runs with, those kids that he signed
Ridiculous, without even tryin', how do they do it?

This is ten percent luck, twenty percent skill
Fifteen percent concentrated power of will
Five percent pleasure, fifty percent pain
And a hundred percent reason to remember the name

This is ten percent luck, twenty percent skill
Fifteen percent concentrated power of will
Five percent pleasure, fifty percent pain
And a hundred percent reason to remember the name

Yeah!
Fort Minor, M. Shinoda
Styles of Beyond
Ryu, Takbir
Machine Shop!";85
Can't Hold Us;Macklemore & Ryan Lewis;"Ay, ay, ay
Good to see you
Come on in, let?s go

Yeah, let's go, hahaha

Alright, alright, okay, uh
Alright, okay, alright, okay

Return of the Mack
Get ?em, what it is, what it does, what it is, what it isn't
Looking for a better way to get up out of bed
Instead of getting on the Internet and checking a new hit me, get up

Thrift Shop, pimp strut walking
Little bit of humble, little bit of cautious
Somewhere between like Rocky and Cosby
Sweater game, nope, nope, y'all can?t copy, yup

Bad, moonwalking, and this here is our party
My posse?s been on Broadway, and we did it our way, grown music
I shed my skin and put my bones into everything I record to it
And yet I'm on

 

Let that stage light go and shine on down
Got that Bob Barker suit game and Plinko in my style
Money, stay on my craft and stick around for those pounds
But I do that to pass the torch and put on for my town

Trust me, on my I-N-D-E-P-E-N-D-E-N-T shit hustlin?
Chasing dreams since I was fourteen with the four-track buzzing
Halfway cross that city with the backpack, fat cat, crushin'

Labels out here, nah, they can?t tell me nothing
We give that to the people, spread it across the country
Labels out here, nah, they can't tell me nothing
We give it to the people, spread it across the country

Can we go back? This is the moment
Tonight is the night, we?ll fight till it's over
So we put our hands up like the ceiling can't hold us
Like the ceiling can?t hold us

Can we go back? This is the moment
Tonight is the night, we?ll fight till it's over
So we put our hands up like the ceiling can?t hold us
Like the ceiling can't hold us

Now, can I kick it? Thank you
Yeah, I?m so damn grateful
I grew up really wanting gold fronts
But that's what you get when Wu-Tang raised you


Y?all can't stop me
Go hard like I got an 808 in my heart beat
And I'm eating at the beat like you gave a little speed
To a great white shark on Shark Week, raw

Tell me go up, gone
Deuces, goodbye, I?ve got a world to see
And my girl, she wanna see Rome
Caesar?ll make you a believer
Nah, I never ever did it for a throne
That validation comes from giving it back to the people
Now, sing that song, and it goes like

Raise those hands, this is our party
We came here to live life like nobody was watching
I got my city right behind me, if I fall, they got me
Learn from that failure gain humility, and now we keep marching, I said

Can we go back? This is the moment
Tonight is the night, we'll fight till it?s over
So we put our hands up like the ceiling can't hold us
Like the ceiling can?t hold us

Can we go back? This is the moment
Tonight is the night, we'll fight till it?s over
So we put our hands up like the ceiling can't hold us
Like the ceiling can't hold us

And so we put our hands up

And so we put our hands up

Whoa-oh-oh-oh, whoa-oh-oh-oh
Whoa-oh-oh-oooh, let?s go
Na na na na na na na na
Heeeeey, and all my people say
Na na na na na na na na
Heeeeey, and all my people say
Na na na na na na na na
Oooooh, and all my people say
Na na na na na na na na
Mack-le-oh-oh-oh-oh-more

Can we go back? This is the moment
Tonight is the night, we?ll fight till it's over
So we put our hands up like the ceiling can?t hold us
Like the ceiling can't hold us

Can we go back? This is the moment
Tonight is the night, we?ll fight till it's over
So we put our hands up like the ceiling can?t hold us
Like the ceiling can't hold us";146
