Song Title;Artist;Lyrics;bpm;Push myself score;Have fun score;Stress relief score;Relax / focus score;Get motivated score;Spotify URI
Feel So Close;Calvin Harris;"I feel so close to you right now, it?s a force field
I wear my heart upon my sleeve like a big deal
Your love pours down on me
Surrounds me like a waterfall
And there's no stopping us right now
I feel so close to you right now


I feel so close to you right now, it?s a force field
I wear my heart upon my sleeve like a big deal
Your love pours down on me
Surrounds me like a waterfall
And there's no stopping us right now
I feel so close to you right now

And there's no stopping us right now

And there?s no stopping us right now
And there?s no stopping us right now

I feel so close to you right now";128;2;0;1;0;0;spotify:track:1gihuPhrLraKYrJMAEONyc
Turn Up the Music;Chris Brown;"Turn up the music ?cause this song just came on
Turn up the music if they try to turn us down
Turn up the music, can I hear it 'til the speakers blow?
Turn up the music, fill your cup and drink it down

If you sexy and you know it, put your hands up in the air
Put your hands up in the air
Girl, put your hands up (Hands up, hands up, hands up)
If you sexy and you know it, put your hands up in the air
Put your hands up in the air, girl, put your hands up

And turn up the music, just turn it up louder
Turn up the music, I need it in my life, yeah
Turn up the music, just turn it up louder
Turn up the music, I need it in my life, yeah

Whoa-oh-oh-oh-oh-whoa-oh
Whoa-oh-oh-oh-oh-whoa-oh
Turn up the music
Whoa-oh-oh-oh-oh-whoa-oh
Whoa-oh-oh-oh-oh-whoa-oh
Turn up the music


T-T-Turn up the music
T-Turn up the

Turn up the music ?cause the sun just came up
Turn up the music if they try to turn us down
Turn up the music 'cause I'm tryna hear the speakers blow
Turn up the music, fill your cup and drink it down

If you sexy and you know it, put your hands up in the air (Hey, oh)
Put your hands up in the air
Girl, put your hands up (Hands up, hands up, hands up)
If you sexy and you know it, put your hands up in the air (Up in the air)
Put your hands up in the air, girl, put your hands up

And turn up the music, just turn it up louder
Turn up the music, I need it in my life, yeah (I need)
Turn up the music, just turn it up louder
Turn up the music, I need it in my life, yeah

Whoa-oh-oh-oh-oh-whoa-oh (Oh)
Whoa-oh-oh-oh-oh-whoa-oh (Yeah)
Turn up the music
Whoa-oh-oh-oh-oh-whoa-oh (Oh)
Whoa-oh-oh-oh-oh-whoa-oh


Save my life, just dance with me (Oh)
All I wanna do is party, so DJ, turn it up (Yeah)
Girl, dance with me, just dance with me (Yeah)
Girl, can I see that? (Oh)
I really wanna touch that (Yeah)
Baby, can I beat that?
Don?t stop the

Turn it up, just dance with me
Turn it up, just dance with me
Turn it up, just dance with me (Dance)
Turn it up, just dance with me
Turn it up, just dance with me (Yeah)
Turn it up, just dance with me (Turn it up)
Turn it up, just dance with me
Turn it up

And turn up the music, just turn it up louder (Yeah, yeah)
Turn up the music, I need it in my life, yeah (Woo)
Turn up the music, just turn it up louder (Up louder)
Turn up the music, I need it in my life, yeah (Leggo)

Whoa-oh-oh-oh-oh-whoa-oh (Oh!)
Whoa-oh-oh-oh-oh-whoa-oh
Can you turn it up, baby? (Yeah!)
Whoa-oh-oh-oh-oh-whoa-oh (Yeah! Oh-whoa)
Whoa-oh-oh-oh-oh-whoa-oh
Can you turn it up, baby?

Turn it up, just dance with me (Hahaha)
Turn it up, just dance with me (Girl)
Turn it up, just dance with me (Hahaha)
Turn it up, just dance with me (Don?t stop the music)
Turn it up, just dance with me (Hahaha)
Turn it up, just dance with me
Turn it up, just dance with me
T-T-Turn it up
Don't stop the music";130;0;4;1;0;0;spotify:track:1RMRkCn07y2xtBip9DzwmC
Club Can't Handle Me;Flo Rida, David Guetta;"You know I know how
To make ?em stop and stare as I zone out
The club can't even handle me right now
Watchin? you watchin' me, I go all out

The club can't even handle me right now
The club can?t even handle me right now

I own the night, and I don?t need no help
Gotta be the feeling that Scarface felt
Stuntin', go wild can?t handle this player
Life of the club, arrogant like, yeah

Top like money, so the girls just melt
Want too many, all know me like Twelve
Look like cash and they all just stare
Bottles, models, standin' on chairs

Fall out ?cause that's the business
All out, it?s so ridiculous
Zone out so much attention
Scream out, ""I'm in the building""


They watchin', I know this
I?m rockin?, I'm rolling
I?m holding, I know it
You know it

You know I know how
To make 'em stop and stare as I zone out
The club can?t even handle me right now
Watchin' you watchin? me, I go all out

The club can't even handle me right now
The club can't even handle me right now


Still feelin? myself, I?m like outta control
Can't stop now, more shots, let?s go
Ten more rounds, can I get a K.O.?
Paparazzi trying to make me pose
Came to party 'til I came no more
Celebrate ?cause that's all I know
Tip the groupies takin? off their clothes
Grand finale like Superbowl
Go hard, run the show
That's right, while I've got money to blow
More lights, more ice when I walk in the door
No hype, do it big all over the globe
I said it, go tell it
Confetti, who ready?
I?m ready, you ready
Let?s get it

You know I know how
To make 'em stop and stare as I zone out
The club can?t even handle me right now
Watchin' you watchin? me, I go all out

The club can't even handle me right now
(Put your hands up)
(Put your hands up)
(Put your hands up)

The club can?t even handle me right now
(Put your hands up)
(Put your hands up)
(Put your hands up)

You got me watchin' now, got my attention now
Got everybody in the club wanting to know now
I am a ladies man, come be my lady and
We can ball, so, ah

Bring ya body here, let me switch up your atmosphere
Take you up out of the club and up in my new limo
Fly you all around the world
What you want baby girl, are you ready to go now?

You know I know how
To make 'em stop and stare as I zone out
The club can?t even handle me right now
Watchin? you watchin' me, I go all out

The club can?t even handle me right now
(Put your hands up)
(Put your hands up)
(Put your hands up)

The club can't even handle me right now
(Put your hands up)
(Let?s celebrate now)
(Put your hands up)
(You know who shut it down)";128;1;1;0;0;0;spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y
Rain in Ibiza;Felix Jaehn, The Stickmen Project, Calum Scott;"What?s your name? Nice to meet you
Por favor señorita
You're the rarest of creatures
Like the rain in Ibiza

What?s your name? Nice to meet you
Por favor señorita
You're the rarest of creatures
Like the rain in Ibiza (in Ibiza)

In Ibiza
Like the rain in Ibiza (in Ibiza)

What's your name? Nice to meet you
Por favor señorita
You?re the rarest of creatures
Like the rain in Ibiza


Let?s go to a place, oh, anywhere don't wanna stay
I wanna get to know you, wanna feel you
Never felt so close but at the same time far away
We?re so different and yet so familiar

So what's your name? Nice to meet you
Por favor señorita
You?re the rarest of creatures
Like the rain in Ibiza (in Ibiza)

What's your name? Nice to meet you
Por favor señorita
You?re the rarest of creatures
Like the rain in Ibiza (in Ibiza)

What's your name?

You're the rarest of creatures
Like the rain in Ibiza";124;0;1;1;0;0;spotify:track:5u8Y0lAUlBLwuhpXSDUGf4
Believer;Imagine Dragons;"First things first, I?ma say all the words inside my head
I'm fired up, and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second, don?t you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That look at me, took to me, shook to me, feelin? me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the

Pain!
You made me a, you made me a believer, believer


Pain!
You break me down, and build me up, believer, believer
Pain!
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive it came from
Pain!
You made me a, you made me a believer, believer

Third things third, send a prayer to the ones up above
All the hate that you?ve heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was choking in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin?
Inhibited, limited, 'til it broke open, and it rained down
It rained down like

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, and build me up, believer, believer
Pain!
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive it came from
Pain!
You made me a, you made me a believer, believer


Last things last, by the grace of the fire and the flames
You?re the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh

But they never did, ever lived, ebbin' and flowin?
Inhibited, limited, 'til it broke open, and it rained down
It rained down like

Pain!
You made me a, you made me a believer, believer

Pain!
You break me down, and build me up, believer, believer
Pain!
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive it came from
Pain!
You made me a, you made me a believer, believer";125;2;0;1;0;0;spotify:track:0pqnGHJpmpxLKifKRmU6WP
Mama Said;Lukas Graham;"When Mama said that it was okay
Mama said that it was quite alright
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And Daddy told us, ""Never listen to the ones
Pointing nasty fingers and making fun""
?Cause we were good kids

Remember asking both my mom and dad
Why we never traveled to exotic lands
We only ever really visit friends
Nothing to tell when the summer ends
We never really went buying clothes
Folks were passing on the stuff in plenty loads
New shoes once a year and then
Out to play ball so we could ruin them


When Mama said that it was okay
Mama said that it was quite alright
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And Daddy told us, ""Never listen to the ones
Pointing nasty fingers and making fun""
'Cause we were good kids

Don?t get me wrong I didn't have it bad
I got enough loving from my mom and dad
But I don't think they really understood
When I said that I wanted the deal in Hollywood
I told them I?ll be singing on TV
The other kids were calling me a wannabe
The older kids, they started bugging me
But now they?re all standing right in front of me

When Mama said that it was okay
Mama said that it was quite alright
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And Daddy told us, ""Never listen to the ones
Pointing nasty fingers and making fun""
'Cause we were good kids


I know which place I?m from
I know my home
When I'm in doubt and struggling
That?s where I go
An old friend can give advice
When new friends only know a half story
That's why I always keep ?em tight
And why I'm okay
I said I'm okay
You know what my mama said?
You know what she told me?

My Mama said that it was okay
Mama said that it was quite alright
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And Daddy told us, ""Never listen to the ones
Pointing nasty fingers and making fun""
?Cause we were good kids

And Mama said that it was okay
Ba-ba-da, ba-ba-da, ba-ba
Ba-ba-da, ba-ba-da, ba-ba
Ba-ba-da, ba-ba-da, ba-ba
And Mama said that it was okay
Ba-ba-da, ba-ba-da, ba-ba
Ba-ba-da, ba-ba-da, ba-ba
Ba-ba-da, ba-ba-da, ba-ba
And Mama said that it was okay";84;0;1;2;0;0;spotify:track:3kQcsiZLNkC9jjtJO20ht5
2U;David Guetta, Justin Biber;"No limit in the sky
That I won?t fly for ya (for ya, for ya, for ya)
No amount of tears in my eyes
That I won't cry for ya (for ya), oh no
With every breath that I take
I want you to share that air with me
There?s no promise that I won't keep
I'll climb a mountain, there?s none too steep

When it comes to you
There?s no crime
Let's take both of our souls
And intertwine

When it comes to you
Don?t be blind
Watch me speak from my heart
When it comes to you
Comes to you
Want you to share that
(When it comes to you)


Cupid ain't a lie
Arrow got your name on it, oh yeah
Don?t miss out on a love
And regret yourself on it, oh (oh, oh)
Open up your mind, clear your head
Ain't gotta wake up to an empty bed
Share my life, it?s yours to keep
Now that I give to you all of me, oh

When it comes to you
There's no crime
Let's take both of our souls
And intertwine

When it comes to you
Don?t be blind
Watch me speak from my heart
When it comes to you
Comes to you
Want you to share that
(Share) When it comes to you
Want you to share that


When it comes to you (to you)
There?s no crime
Let's take both of our souls
And intertwine
When it comes to you
Don?t be blind
Watch me speak from my heart
When it comes to you
Comes to you (you, you, you, you, you, you, you, you)";145;2;0;2;1;0;spotify:track:3A7qX2QjDlPnazUsRk5y0M
Not Afraid;Eminem;"Yeah, It's been a ride...
I guess I had to go to that place to get to this one
Now some of you might still be in that place
If you're trying to get out, just follow me
I'll get you there


You can try and read my lyrics off of this paper before I lay 'em
But you won't take this thing out these words before I say 'em
Cause ain't no way I'm let you stop me from causing mayhem
When I say 'em or do something I do it, I don't give a damn
What you think, I'm doing this for me, so fuck the world
Feed it beans, it's gassed up, if a thing's stopping me
I'mma be what I set out to be, without a doubt undoubtedly
And all those who look down on me I'm tearing down your balcony
No if ands or buts don't try to ask him why or how can he
From Infinite down to the last Relapse album he's still shit'n
Whether he's on salary, paid hourly
Until he bows out or he shit's his bowels out of him
Whichever comes first, for better or worse
He's married to the game, like a fuck you for Christmas
His gift is a curse, forget the earth he's got the urge
To pull his dick from the dirt and fuck the whole universe

I'm not afraid to take a stand
Everybody come take my hand
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just let you know that, you're not alone
Holla if you feel that you've been down the same road

Ok quit playin' with the scissors and shit, and cut the crap
I shouldn't have to rhyme these words in the rhythm for you to know it's a rap
You said you was king, you lied through your teeth
For that fuck your fillings, instead of getting crowned you're getting capped
And to the fans, I'll never let you down again, I'm back
I promise to never go back on that promise, in fact
Let's be honest, that last Relapse CD was ""ehhhh""
Perhaps I ran them accents into the ground


Relax, I ain't going back to that now
All I'm tryna say is get back, click-clack BLAOW
Cause I ain't playin' around
There's a game called circle and I don't know how
I'm way too up to back down
But I think I'm still tryna figure this crap out
Thought I had it mapped out but I guess I didn't
This fucking black cloud still follow's me around
But it's time to exorcise these demons
These motherfuckers are doing jumping jacks now!

I'm not afraid to take a stand
Everybody come take my hand
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just let you know that, you're not alone
Holla if you feel that you've been down the same road

And I just can't keep living this way
So starting today, I'm breaking out of this cage
I'm standing up, Imma face my demons
I'm manning up, Imma hold my ground
I've had enough, now I'm so fed up
Time to put my life back together right now

It was my decision to get clean, I did it for me
Admittedly I probably did it subliminally for you
So I could come back a brand new me, you helped see me through
And don't even realise what you did, believe me you
I been through the ringer, but they can do little to the middle finger
I think I got a tear in my eye, I feel like the king of
My world, haters can make like bees with no stingers, and drop dead
No more beef flingers, no more drama from now on, I promise
To focus only on handling my responsibility's as a father
So I solemnly swear to always treat this roof like my daughters and raise it
You couldn't lift a single shingle on it
Cause the way I feel, I'm strong enough to go to the club
Or the corner pub and lift the whole liquor counter up
Cause I'm raising the bar, I shoot for the moon
But I'm too busy gazing at stars, I feel amazed and

I'm not afraid to take a stand
Everybody come take my hand
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just let you know that, you're not alone
Holla if you feel that you've been down the same road";81;3;0;3;2;0;spotify:track:7Ie9W94M7OjPoZVV216Xus
Dance With Somebody;Mando Diao;"Break your happy home
Learn to sing alone
To the music, to the music
Clap your hands and shake
On a summer's day
To the music, to the music
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm gonna dance with somebody
When you're all alone
We become your home
We're the music, we're the music
When your love's away
And you feel betrayed
We're the music, sweet music
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
dance, dance, dance
Dance, dance, dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
Dance (dance)
(Dance, dance)
(Dance, dance)
Yeah, I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
I'm falling in love with your favorite song
I'm gonna sing it all night long
I'm gonna dance with somebody
Dance with somebody
Dance, dance, dance
Keep dancing
Are you ready to be played
Played, played?";123;0;5;1;0;0;spotify:track:39EISCnBUBzbDxBtaOCyPD
On the Floor;Jennifer Lopez, Pitbull;"J-Lo, ya tú sabes, no es más nada

It?s a new generation
Mr. Worldwide
Of party people
Get on the floor, dale
Get on the floor, RedOne

Let me introduce you to my party people in the club, huh

I'm loose, loose
And everybody knows I get off the chain
Baby, it?s the truth, it's the truth
I'm like inception, I play with your brain
So I don?t sleep or snooze, snooze

I don?t play no games
So don-don-don't get it confused, no
?Cause you will lose, yeah
Now, now pu-pu-pum-pu-pu-pu-pump it up
And back it up like a Tonka truck, dale


If you go hard, you gotta get on the floor
If you're a party freak, then step on the floor
If you?re an animal, then tear up the floor
Break a sweat on the floor
Yeah, we work on the floor
Don't stop, keep it moving, put your drinks up

Pick your body up and drop it on the floor
Let the rhythm change your world on the floor
You know we?re running shit tonight on the floor
Brazil, Morocco, London to Ibiza
Straight to LA, New York, Vegas to Africa (dale)

Dance the night away
Live your life and stay young on the floor
Dance the night away
Grab somebody, drink a little more

(Así mismo, así me gusta, así me gusta, así me gusta)

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor

I know you got it, clap your hands on the floor
And keep on rocking, rock it up on the floor
If you?re a criminal, kill it on the floor
Steal it quick on the floor, on the floor
Don?t stop, keep it moving, put your drinks up


It's getting ill, it?s getting sick on the floor
We never quit, we never rest on the floor
If I ain't wrong, we?ll probably die on the floor
Brazil, Morocco, London to Ibiza
Straight to LA, New York, Vegas to Africa (dale)

Dance the night away
Live your life and stay young on the floor
Dance the night away
Grab somebody, drink a little more
(Dale, así me gusta, así me gusta, así me gusta)

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon? be it on the floor

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor

That badonka donk is like a trunk full of bass on an old-school Chevy
Seven tray donkey donk
All I need is some vodka and some Chonkey coke
And watch a chick go get donkey-konged
Baby, if you?re ready for things to get heavy
I get on the floor and act a fool if you let me, dale

Don?t believe me, just vet me
My name ain't Keith, but I see the way you sweat me
LA, Miami, New York
Say no more, get on the floor

Dance the night away
Live your life and stay young on the floor
Dance the night away
Grab somebody, drink a little more

La la la la la la la la la la la la la la
Tonight we gon? be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon? be it on the floor

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
Tonight we gon? be it on the floor
Tonight we gon' be it on the floor";130;3;2;1;0;1;spotify:track:3C0nOe05EIt1390bVABLyN
